1;2;3;4;6;7;8;9;10;11;12;13;14
WSE;2003;23/07/2003;16:00;24/07/2003;23:00;121º, -83º;2;2;(-BA +BT);7.616;12.409;106.70º
NWS;2003;05/08/2003;15:00;06/08/2003;00:00;232º, 2º;1;1;(+BA +BT);7.667;11.893;99.49º
NOT;2003;16/08/2003;02:00;17/08/2003;16:00;NOT;0;0;*;*;*;*
SWN;2003;18/08/2003;06:00;19/08/2003;11:00;356º, -29º;2;1;(-BA -BT);6.408;10.986;101.31º
WNE;2003;23/10/2003;15:00;23/10/2003;00:00;183º, 61º;1;2;(-BA +BT);6.080;9.257;135.20º
NOT;2003;24/10/2003;21:00;25/10/2003;12:00;NOT;0;0;NOT;*;*;*
SWN;2003;26/10/2003;22:00;28/10/2003;12:00;268º, -14º;2;2;(+BA +BT);2.024;5.066;98.34º
SEN;2003;29/10/2003;18:00;30/10/2003;03:00;75º, -13º;1;1;(+BA +BT);2.078;5.104;138.44º
NOT;2003;31/10/2003;02:00;02/11/2003;00:00;NOT;0;0;NOT;*;*;*
ESW;2003;20/11/2003;11:00;21/11/2003;00:00;7º, -75º;0;1;NOT;15.218;15.787;168.48º
ENW;2004;10/01/2004;07:00;10/01/2004;12:00;151º, 50º;0;2;NOT;20.547;15.980;176.81º
NOT;2004;23/01/2004;23:00;23/01/2004;04:00;NOT;0;0;;*;*;*
ENW;2004;03/04/2004;02:00;05/04/2004;15:00;29º, 80º;0;1;NOT;8.153;12.683;110.75º
SEN;2004;26/04/2004;18:00;26/04/2004;04:00;NOT;0;0;NOT;*;*;*
NWS;2004;01/05/2004;16:00;02/05/2004;09:00;NOT;0;0;NOT;*;*;*
NES;2004;22/07/2004;15:00;22/07/2004;23:00;66º, 20º;1;1;(-BA +BT);2.566;6.401;103.24º
NES;2004;24/07/2004;14:00;25/07/2004;15:00;66º, -34º;1;2;(-BA +BT);4.879;10.568;112.01º
SWN;2004;25/07/2004;19:00;26/07/2004;03:00;208º, -43º;1;1;(-BA -BT);5.566;11.334;154.98º
NES;2004;27/07/2004;02:00;27/07/2004;22:00;111º, -13º;1;2;(+BA -BT);3.469;8.733;156.93º
NWS;2004;01/08/2004;11:00;02/08/2004;04:00;NOT;0;0;NOT;*;*;*
NES;2004;29/08/2004;19:00;30/08/2004;20:00;89º, -9º;1;2;(-BA -BT);2.382;6.252;113.14º
WSE;2004;14/09/2004;21:00;15/09/2004;03:00;42º, -49º;1;1;(+BA +BT);2.129;5.309;118.42º
WNE;2004;18/09/2004;17:00;19/09/2004;13:00;203º, 53º;1;2;(-BA -BT);3.579;8.510;92.90º
SEN;2004;08/11/2004;02:00;08/11/2004;17:00;NOT;0;0;NOT;*;*;*
NWS;2004;09/11/2004;21:00;10/11/2004;05:00;275º, 4º;1;1;(-BA -BT);10.172;14.463;138.32º
SEN;2004;10/11/2004;05:00;10/11/2004;11:00;38º , -26º;1;1;(+BA +BT);3.620;8.760;93.65º
ESW;2004;12/11/2004;18:00;12/11/2004;01:00;336º , -52º;1;2;(+BA +BT);4.403;9.987;20.52º
SEN;2004;12/12/2004;23:00;13/12/2004;19:00;101º , 14º;2;1;(+BA -BT);2.710;6.900;112.19
